11/06/2025 09:54:53.434 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (d6e5) to lichess
11/06/2025 09:54:54.001 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:54:54.004 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: d6e5
11/06/2025 09:54:57.797 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:54:57.799 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: b5f1
11/06/2025 09:55:39.707 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (g5h4) to lichess
11/06/2025 09:55:40.277 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:55:40.279 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: g5h4
11/06/2025 09:55:42.998 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:55:43.000 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: d5d6
11/06/2025 09:55:52.080 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (f3g3) to lichess
11/06/2025 09:55:52.641 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:55:52.649 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: f3g3
11/06/2025 09:55:56.992 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:55:56.996 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: g2h2
11/06/2025 09:56:15.711 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (h5f5) to lichess
11/06/2025 09:56:16.271 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:56:16.273 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: h5f5
11/06/2025 09:56:21.270 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:56:21.273 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: f1g2
11/06/2025 09:56:56.304 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (f5f2) to lichess
11/06/2025 09:56:56.862 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:56:56.870 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: f5f2
11/06/2025 09:57:02.972 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:57:02.974 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: d6d7
11/06/2025 09:57:08.831 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (f2g2) to lichess
